,,,,,pIC50
c1cc(ccc1CN2CCCCC2)N/C=C\3/c4cc(ccc4C(=O)NC3=O)Br,IC50,>,50000,nM,4.30102999566398
CN1CCN(CC1)c2cnc(cn2)N/C=C\3/c4cc(ccc4C(=O)NC3=O)c5ccoc5,IC50,>,50000,nM,4.30102999566398
CN1CCN(CC1)c2ncc(cn2)N/C=C\3/c4cc(ccc4C(=O)NC3=O)c5ccoc5,IC50,>,50000,nM,4.30102999566398
CN1CCN(CC1)c2ccc(cc2F)N/C=C\3/c4cc(ccc4C(=O)NC3=O)c5ccoc5,IC50,>,50000,nM,4.30102999566398
CN1CCN(CC1)c2ccc(nn2)N/C=C\3/c4cc(ccc4C(=O)NC3=O)c5ccoc5,IC50,>,50000,nM,4.30102999566398
CN1CCN(CC1)c2ccc(cn2)N/C=C\3/c4cc(ccc4C(=O)NC3=O)c5ccoc5,IC50,>,50000,nM,4.30102999566398
CN1CCN(CC1)c2ccc(nc2)N/C=C\3/c4cc(ccc4C(=O)NC3=O)c5ccoc5,IC50,>,50000,nM,4.30102999566398
C[C@H]1CN([C@@H](CN1c2ccc(cc2)N/C=C\3/c4cc(ccc4C(=O)NC3=O)I)C)C,IC50,>,50000,nM,4.30102999566398
CC1CN(CCN1C)c2ccc(cc2)N/C=C\3/c4cc(ccc4C(=O)NC3=O)I,IC50,>,50000,nM,4.30102999566398
C[C@@H]1CN(C[C@@H](N1C)C)c2ccc(cc2)N/C=C\3/c4cc(ccc4C(=O)NC3=O)I,IC50,>,50000,nM,4.30102999566398
C[C@@H]1CN(C[C@@H](N1)C)c2ccc(cc2)N/C=C\3/c4cc(ccc4C(=O)NC3=O)I,IC50,>,50000,nM,4.30102999566398
CN1CC2CC1CN2c3ccc(cc3)N/C=C\4/c5cc(ccc5C(=O)NC4=O)I,IC50,>,50000,nM,4.30102999566398
c1ccc(cc1)Oc2ccc(cc2)c3ccc4c(c3)/C(=C\Nc5ccc(cc5)CN6CCCCC6)/C(=O)NC4=O,IC50,>,50000,nM,4.30102999566398
COc1ccc(cc1)c2ccc3c(c2)/C(=C/Nc4ccc(cc4)CN5CCCCC5)/C(=O)NC3=O,IC50,>,50000,nM,4.30102999566398
COc1cccc(c1)c2ccc3c(c2)/C(=C/Nc4ccc(cc4)CN5CCCCC5)/C(=O)NC3=O,IC50,>,50000,nM,4.30102999566398
c1cc(ccc1CN2CCCCC2)N/C=C\3/c4cc(ccc4C(=O)NC3=O)c5ccc(cc5)O,IC50,>,50000,nM,4.30102999566398
c1cc(cc(c1)O)c2ccc3c(c2)/C(=C/Nc4ccc(cc4)CN5CCCCC5)/C(=O)NC3=O,IC50,>,50000,nM,4.30102999566398
c1cc(ccc1CN2CCCCC2)N/C=C\3/c4cc(ccc4C(=O)NC3=O)c5ccc(cc5)Cl,IC50,>,50000,nM,4.30102999566398
c1cc(ccc1CN2CCCCC2)N/C=C\3/c4cc(ccc4C(=O)NC3=O)c5ccc(cc5)F,IC50,>,50000,nM,4.30102999566398
c1cc(ccc1CN2CCCCC2)N/C=C\3/c4cc(ccc4C(=O)NC3=O)c5ccsc5,IC50,>,50000,nM,4.30102999566398
c1cc(cnc1)c2ccc3c(c2)/C(=C/Nc4ccc(cc4)CN5CCCCC5)/C(=O)NC3=O,IC50,>,50000,nM,4.30102999566398
c1cc(ccc1CN2CCCCC2)N/C=C\3/c4cc(ccc4C(=O)NC3=O)c5ccoc5,IC50,>,50000,nM,4.30102999566398
c1ccc(cc1)c2ccc3c(c2)/C(=C/Nc4ccc(cc4)CN5CCCCC5)/C(=O)NC3=O,IC50,>,50000,nM,4.30102999566398
c1ccc(cc1)Nc2ccc3c(c2)/C(=C/Nc4ccc(cc4)CN5CCCCC5)/C(=O)NC3=O,IC50,>,50000,nM,4.30102999566398
CN1CCN(CC1)c2ccc3c(c2)/C(=C/Nc4ccc(cc4)CN5CCCCC5)/C(=O)NC3=O,IC50,>,50000,nM,4.30102999566398
c1cc(ccc1CN2CCCCC2)N/C=C\3/c4cc(ccc4C(=O)NC3=O)N5CCOCC5,IC50,>,50000,nM,4.30102999566398
c1cc(ccc1CN2CCCCC2)N/C=C\3/c4cc(ccc4C(=O)NC3=O)N5CCCCC5,IC50,>,50000,nM,4.30102999566398
c1ccn(c1)c2ccc3c(c2)/C(=C/Nc4ccc(cc4)CN5CCCCC5)/C(=O)NC3=O,IC50,>,50000,nM,4.30102999566398
c1cc(ccc1CN2CCCCC2)N/C=C\3/c4cc(ccc4C(=O)NC3=O)N(=O)=O,IC50,>,50000,nM,4.30102999566398
COc1ccc2c(c1)/C(=C/Nc3ccc(cc3)CN4CCCCC4)/C(=O)NC2=O,IC50,>,50000,nM,4.30102999566398
c1cc(ccc1CN2CCCCC2)N/C=C\3/c4cc(ccc4C(=O)NC3=O)Cl,IC50,>,50000,nM,4.30102999566398
COc1cnc(nc1O)CN/C=C\2/c3cc(ccc3C(=O)NC2=O)I,IC50,>,50000,nM,4.30102999566398
c1cc(c(cc1CN/C=C\2/c3cc(ccc3C(=O)NC2=O)I)O)c4ccncc4,IC50,>,50000,nM,4.30102999566398
c1ccnc(c1)c2ccc(cc2O)CN/C=C\3/c4cc(ccc4C(=O)NC3=O)I,IC50,>,50000,nM,4.30102999566398
Cn1cc(c2c1cc(c(c2)F)I)C3=C(C(=O)NC3=O)c4coc5c4cccc5OC,IC50,>,50000,nM,4.30102999566398
Cc1c2cc[nH]c2ccc1Nc3c(cnc(c3/C=C/c4cccc(c4)S(=O)(=O)N5CCN(CC5)C)C)C#N,IC50,>,50000,nM,4.30102999566398
c1ccc(cc1)Oc2cccc(c2)/C=C\3/c4cc(cnc4NC3=O)Br,IC50,>,50000,nM,4.30102999566398
CC(C)c1c(cn2c1c(ncn2)Nc3cc(c(cc3F)F)C(=O)NOC)NC(=O)OCCCS(=O)(=O)C,IC50,>,50000,nM,4.30102999566398
CC(C)c1c(cn2c1c(ncn2)Nc3cc(c(cc3F)F)C(=O)NOC)NC(=O)OCC4CCCO4,IC50,>,50000,nM,4.30102999566398
Cc1nnc(o1)c2cn3c(c2C(C)C)c(ncn3)Nc4cc(c(cc4F)F)C(=O)NOC,IC50,>,50000,nM,4.30102999566398
CC(C)c1c(cn2c1c(ncn2)Nc3cc(c(cc3F)F)C(=O)NOC)c4nnc(o4)C(F)F,IC50,>,50000,nM,4.30102999566398
CC(C)c1c(cn2c1c(ncn2)Nc3cc(c(cc3F)F)C(=O)NOC)c4nnc(o4)C(F)(F)S(=O)(=O)C,IC50,>,50000,nM,4.30102999566398
CC(C)(C)Nc1c2ccccc2ncn1,IC50,>,50000,nM,4.30102999566398
COC(=O)Nc1ccc(cc1)c2nc3c(cnn3C4CCN(CC4)C(=O)OC)c(n2)N5CCOCC5,IC50,>,50000,nM,4.30102999566398
c1c(cc(c2c1c3c4c(cc5c3OCO5)C(=O)Nc4c2)O)O,IC50,>,50000,nM,4.30102999566398
CN1CCc2cc3c(c-4c2[C@@H]1Cc5c4cc(c(c5)OC)OC)OCO3,IC50,>,50000,nM,4.30102999566398
CN1CCc2cc3c(c-4c2C1Cc5c4ccc(c5OC)OC)OCO3,IC50,>,50000,nM,4.30102999566398
CN1CCc2cc3c(c-4c2[C@@H]1Cc5c4cccc5)OCO3,IC50,>,50000,nM,4.30102999566398
CN1CCc2cc(c(c-3c2[C@@H]1Cc4c3c(c(cc4)OC)O)OC)OC,IC50,>,50000,nM,4.30102999566398
CN1CCc2cc(c(c-3c2[C@@H]1Cc4c3c(c(cc4)OC)OC)O)OC,IC50,>,50000,nM,4.30102999566398
CN1CCc2cc(c(c-3c2[C@@H]1Cc4c3c(c(cc4)OC)O)O)OC,IC50,>,50000,nM,4.30102999566398
CN1CC[C@]23C=C(C(=O)C=C2[C@H]1Cc4c3c(c(cc4)OC)O)OC,IC50,>,50000,nM,4.30102999566398
CN1CC[C@]23CC(=O)C(=C[C@@H]2[C@@H]1Cc4c3c(c(cc4)OC)O)OC,IC50,>,50000,nM,4.30102999566398
CN1CCc2cc3c(c-4c2[C@H]1Cc5c4cccc5OC)OCO3,IC50,>,50000,nM,4.30102999566398
COc1ccc2c(c1OC)CN3CCc4cc5c(cc4[C@H]3C2)OCO5,IC50,>,50000,nM,4.30102999566398
C[C@@H](c1c(ccc(c1Cl)F)Cl)Oc2ccc3c(c2)cccn3,IC50,>,50000,nM,4.30102999566398
C[C@@H](c1c(ccc(c1Cl)F)Cl)Oc2ccc3c(c2)cc(cn3)C4CC4C(=O)N,IC50,>,50000,nM,4.30102999566398
C[C@@H](c1c(ccc(c1Cl)F)Cl)Oc2ccc3c(c2)cc(cn3)/C=C/C(=O)N,IC50,>,50000,nM,4.30102999566398
c1cc(cc(c1)NC(=O)c2cccc(c2)C(F)(F)F)c3ccnc4n3nc(c4)c5ccncc5,IC50,>,50000,nM,4.30102999566398
CC(C)(C)OC(=O)N1CCC(CC1)n2c3c(cn2)c(nc(n3)c4ccc(cc4)N)N5CCOCC5,IC50,>,50000,nM,4.30102999566398
COC(=O)N1CCC(CC1)n2c3c(cn2)c(nc(n3)c4ccc(cc4)N)N5CCOCC5,IC50,>,50000,nM,4.30102999566398
c1ccc(cc1)Cc2nc(cs2)NC(=O)NN3CCOCC3,IC50,>,100000,nM,4
Cc1cccc(c1)c2nc(cs2)NC(=O)NOc3ccccc3,IC50,>,100000,nM,4
c1ccc(cc1)ONC(=O)Nc2csc(n2)Cc3c(cccc3Cl)Cl,IC50,>,100000,nM,4
c1ccc(cc1)Cc2nc(cs2)NC(=O)NOc3ccccc3,IC50,>,100000,nM,4
CONC(=O)Nc1csc(n1)Cc2c(cccc2Cl)Cl,IC50,>,100000,nM,4
c1ccc(cc1)OCc2nc(cs2)NC(=O)NN3CCOCC3,IC50,>,100000,nM,4
c1cc(cc(c1)O)c2nc3c4cccnc4oc3c(n2)N5CCOCC5,IC50,>,100000,nM,4
Cn1cnc2c1nc(nc2OCC3CCCCC3)N,IC50,>,100000,nM,4
Cc1ccc(cc1Nc2c(c(ncn2)NC3CCCC3)C#N)C(=O)Nc4ccon4,IC50,>,100000,nM,4
c1c(cc(c2c1n(=O)c(s2)C(=O)N)N(=O)=O)C(F)(F)F,IC50,>,100000,nM,4
c1c(cc(c2c1n(=O)c(s2)C(=O)N)N(=O)=O)SC(F)(F)F,IC50,>,100000,nM,4
CC(C)n1cnc2c1nc(nc2NC34CC5CC(C3)CC(C5)C4)NCCCO,IC50,>,100000,nM,4
CCCCCCCOc1c2c([nH]cn2)nc(n1)N,IC50,>,100000,nM,4
Cc1cnc2c(c1c3ccccc3)c4cc(ccc4o2)O,IC50,>,100000,nM,4
CCOc1cnc2c(c1c3ccccc3)c4cc(ccc4o2)O,IC50,>,100000,nM,4
c1ccc(cc1)c2c(cnc3c2c4cc(ccc4o3)O)Cl,IC50,>,100000,nM,4
CC(=O)c1cnc2c(c1c3ccccc3)c4cc(ccc4o2)O,IC50,>,100000,nM,4
c1cc(ccc1C(=O)O)N=Nc2c([nH]nc2N)N,IC50,>,100000,nM,4
c1ccc(cc1)N=Nc2c([nH]nc2N)N,IC50,>,100000,nM,4
c1cc(cc(c1)N(=O)=O)N=Nc2c([nH]nc2N)N,IC50,>,100000,nM,4
c1cc(cc(c1)O)N=Nc2c([nH]nc2N)N,IC50,>,100000,nM,4
c1ccc(c(c1)CO)N=Nc2c([nH]nc2N)N,IC50,>,100000,nM,4
Cc1ccc(cc1)NC(=O)C2=C(N=C(NC2c3ccc(cc3O)O)NCc4ccccc4)C,IC50,>,100000,nM,4
CC1=C(C(NC(=N1)NN)c2ccc(cc2O)O)C(=O)Nc3cccc(c3)N(=O)=O,IC50,>,100000,nM,4
CN(C)CC(COc1ccc(cc1)Nc2cc(ncn2)Nc3ccccc3F)O,IC50,>,100000,nM,4
CN(C)CC(COc1ccc(cc1)Nc2cc(ncn2)N(Cc3ccccc3)c4cc(ccc4Cl)Cl)O,IC50,>,100000,nM,4
CN(C)CC(COc1ccc(cc1)Nc2cc(ncn2)Nc3ccccc3)O,IC50,>,100000,nM,4
Cc1ccc(cc1)Nc2cc(ncn2)Nc3ccc(cc3)OCC(CN(C)C)O,IC50,>,100000,nM,4
CN(C)CC(COc1ccc(cc1)Nc2cc(ncn2)Nc3ccc(cc3)OC)O,IC50,>,100000,nM,4
CN(C)CC(COc1ccc(cc1)Nc2cc(ncn2)Nc3ccc(cc3)Cl)O,IC50,>,100000,nM,4
CCCCN(CCCC)c1ccc2c(c1)c(n[nH]2)NC(=O)Cc3ccccc3,IC50,>,100000,nM,4
COc1ccc(cc1)CNC(=O)Nc2ncc(s2)N(=O)=O,IC50,>,100000,nM,4
CN(C)CCNC(=O)c1ccc(cc1)c2cnc3n2nc(cc3)NCc4ccc(c(c4)Cl)Cl,IC50,>,100000,nM,4
c1cc(ccc1c2cnc3n2nc(cc3)NCc4ccc(c(c4)Cl)Cl)C(=O)NCCN5CCCC5,IC50,>,100000,nM,4
c1cc(ccc1c2cnc3n2nc(cc3)NCC4CC4)C(=O)NC[C@@H]5CCCN5,IC50,>,100000,nM,4
c1cc(cc(c1)Cl)CNc2ccc3ncc(n3n2)c4ccc(cc4)C(=O)NC[C@@H]5CCCN5,IC50,>,100000,nM,4
CN(C)CCNC(=O)c1ccc(cc1)c2cnc3n2nc(cc3)NCC4CC4,IC50,>,100000,nM,4
c1cnccc1c2[nH]nc(n2)c3c(n(nn3)c4c(non4)N)CN5CCCCC5,IC50,>,250000,nM,3.60205999132796
c1cnccc1c2[nH]nc(n2)C3C(N(N=N3)C4C(=NON4)N)CN5CCCCC5,IC50,>,250000,nM,3.60205999132796
c1ccc2c(c1)c3c[n+]-4c(cc3[nH]2)C(=O)c5c4cccc5,IC50,>,250000,nM,3.60205999132796
COc1ccc(cc1)c2c3c(nn2c4ccccc4)-c5ccccc5C3=O,IC50,>,280000,nM,3.55284196865778
COc1ccc(cc1)c2c3c(n[nH]2)-c4ccc(cc4C3=O)C(=O)N,IC50,>,300000,nM,3.52287874528034
Cn1c(c2c(n1)-c3ccccc3C2=O)c4ccc(cc4)OC,IC50,>,340000,nM,3.46852108295775
C/C(=C(\C#N)/C(=O)Nc1cc(ccc1Br)Br)/O,IC50,>,500000,nM,3.30102999566398
c1ccc2c(c1)c(=O)cc(o2)c3ccc(c(c3)O)O,IC50,>,500000,nM,3.30102999566398
c1cc(c(cc1c2cc(=O)c3ccc(c(c3o2)O)O)O)O,IC50,>,500000,nM,3.30102999566398
c1ccc2c(c1)ccn2CCc3c[nH]c4c3cccc4,IC50,>,500000,nM,3.30102999566398
c1ccc2c(c1)ccn2CCc3c[nH]c4c3cc(cc4)Cl,IC50,>,500000,nM,3.30102999566398
c1ccc2c(c1)c(c[nH]2)CCn3ccc4c3ccc(c4)F,IC50,>,500000,nM,3.30102999566398
CC(C)(C)Nc1c2ccccc2nc(n1)C(=O)O,IC50,>,815000,nM,3.08884239126002
CC(C)n1cnc2c1nc(nc2Nc3ccc(cc3)Br)N(CCO)CCO,IC50,=,1000,nM,6
c1cc(ccc1CNc2c3c(nc(n2)Cl)n(cn3)C(F)(F)F)Cl,IC50,=,1000,nM,6
COc1ccc(cc1)CNc2c3c(nc(n2)N(CCO)CCO)n(cn3)CCO,IC50,=,1000,nM,6
CC(C)n1cnc2c1nc(nc2NCc3ccc(cc3)OC)NC(CN)O,IC50,=,1000,nM,6
CC(C)n1cnc2c1nc(nc2NCc3ccc(cc3)OC)NC4CCCCC4O,IC50,=,1000,nM,6
CC(C)n1cnc2c1nc(nc2NCc3ccc(cc3)OC)N(Cc4cccnc4)CC(C)C#N,IC50,=,1000,nM,6
CC(C)n1cnc2c1nc(nc2NCc3ccc(cc3)OC)N(CCO)Cc4ccccc4,IC50,=,1000,nM,6
CC(C)n1cnc2c1nc(nc2NCc3ccc(cc3)c4ccccc4)N(CCO)CCO,IC50,=,1000,nM,6
COc1cc[nH]c1/C=C\2/c3c(ccc(c3I)F)NC2=O,IC50,=,1000,nM,6
Cn1ccc2c1c3c(cc2)c4c(c5ccc(cc5n4CCCN6CCC(CC6)C(=O)N)OC)c7c3C(=O)NC7=O,IC50,=,1000,nM,6
c1cc(cc(c1)Cl)C(=O)Nc2cc([nH]n2)C3CC3,IC50,=,1000,nM,6
c1cc(ccc1Nc2nc3c(c(n2)OCC4CCCCC4)nc[nH]3)O,IC50,=,1000,nM,6
CN(C)CC(COc1ccc(cc1)Nc2nccc(n2)Nc3cc(ccc3Cl)Cl)O,IC50,=,1000,nM,6
c1cc(ccc1N/C=C\2/C3C=CC=CC3NC2=O)S(=O)(=O)Nc4nccs4,IC50,=,1000,nM,6
c1ccc2c(c1)c3c4c(c5c6cccc7c6n(c5c3[nH]2)CCCC7)C(=O)NC4=O,IC50,=,1000,nM,6
c1cc2c3c(c1)c4c5c(c6c7ccc(cc7[nH]c6c4n3CCC2)Br)C(=O)NC5=O,IC50,=,1000,nM,6
CC(C)(C)Nc1c2cc(ccc2nc(n1)C(F)(F)F)c3cccc(c3)O,IC50,=,1000,nM,6
CC(C)(C)Nc1c2cc(ccc2nc(n1)C(F)(F)F)c3ccccc3OC,IC50,=,1000,nM,6
CN(C)CCNS(=O)(=O)c1ccc(cc1)/N=C/c2c3ccccc3[nH]c2O,IC50,=,1000,nM,6
c1ccc2c(c1)c(c([nH]2)O)/C=N/c3ccc(cc3)S(=O)(=O)Nc4nccs4,IC50,=,1000,nM,6
CN(C)CC(COc1ccc(cc1)Nc2cc(ncn2)N(CC#N)c3cc(ccc3Cl)Cl)O,IC50,=,1000,nM,6
CN(C)CC(COc1ccc(cc1)Nc2nccc(n2)Nc3cc(ccc3F)C(F)(F)F)O,IC50,=,1000,nM,6
c1ccc(c(c1)C(=O)Nc2cc([nH]n2)C3CC3)Cl,IC50,=,1000,nM,6
c1cc(ccc1C(=O)Nc2cc([nH]n2)C3CCCCC3)Br,IC50,=,1000,nM,6
COc1cc2c(cc1OC)ncnc2Nc3cccc(c3)O,IC50,=,1000,nM,6
c1cc2c(cnn2nc1)c3ccnc(n3)NCC(F)(F)F,IC50,=,1000,nM,6
c1cc2c(cnn2nc1)c3ccnc(n3)NCc4ccc(cc4)Cl,IC50,=,1000,nM,6
CC(C)c1cnc(s1)NC(=O)c2ccccc2,IC50,=,1020,nM,5.99139982823808
Cn1ccc2c1c3c(cc2)c4c(c5cccc(c5[nH]4)CCCNC6CCC(CC6)O)c7c3C(=O)NC7=O,IC50,=,1030,nM,5.98716277529483
CC(=O)Nc1ccccc1Nc2ncc3c(n2)-c4c(c(nn4C)C(=O)N)CC3,IC50,=,1037,nM,5.98422124361096
CN1CCN(CC1)c2cccc3c2nc([nH]3)c4c5ccc(cc5[nH]n4)c6ccc(cc6)N,IC50,=,1040,nM,5.98296666070122
Cc1ccc(cc1)C(=O)Nc2c3c(n[nH]2)CN(C3)C(=O)c4cccc5c4nccc5,IC50,=,1050,nM,5.97881070093006
Cn1c-2c(c(n1)C(=O)NCc3ccccc3)CCc4c2nc(nc4)Nc5ccccc5,IC50,=,1053,nM,5.97757162881451
Cn1ccc2c1c3c(cc2)c4c(c5cccc(c5[nH]4)CCN6CCCCC6)c7c3C(=O)NC7=O,IC50,=,1060,nM,5.97469413473523
c1ccc(c(c1)C(=O)c2ccc3nc(c(n3c2)C(=O)c4c(cccc4F)F)N)C(F)(F)F,IC50,=,1068,nM,5.97142874730746
Cc1ccc2c(c1)c3c4c(c5c(c3[nH]2)ccc6c5n(cc6)C)C(=O)NC4=O,IC50,=,1070,nM,5.97061622231479
Cn1cc(c2c1ccc(c2)I)C3=C(C(=O)NC3=O)c4coc5c4cccc5,IC50,=,1070,nM,5.97061622231479
CC(C)(C)Sc1cc(=O)c2c(cc(c(c2o1)C3CCN(CC3O)C)O)O,IC50,=,1070,nM,5.97061622231479
c1cc(ccc1C[C@@H](CNc2cnc(s2)c3ccc4cnccc4c3)N)C(F)(F)F,IC50,=,1070,nM,5.97061622231479
CC(C)c1c(ccc2c1nc(nc2)Nc3ccccc3)OC,IC50,=,1080,nM,5.96657624451305
Cc1ccc(cc1)C(=O)Nc2c3c(n[nH]2)CN(C3)C(=O)C,IC50,=,1080,nM,5.96657624451305
CC(=O)Nc1cccc-2c1C(=O)c3c2[nH]nc3C4CCCCC4,IC50,=,1100,nM,5.95860731484178
COc1ccc(cc1O)CN/C=C\2/c3cc(ccc3C(=O)NC2=O)c4ccoc4,IC50,=,1100,nM,5.95860731484178
CC(C)c1c(ccc2c1nc(nc2)Nc3ccc(cc3)N4CCN(CC4)C(=O)CN)OC,IC50,=,1100,nM,5.95860731484178
CC(C)(C)Nc1c2cc(ccc2nc(n1)C(F)(F)F)c3ccc(cc3)N,IC50,=,1100,nM,5.95860731484178
Cn1c-2c(c(n1)C(=O)N)CCc3c2nc(nc3)Nc4ccccc4S(=O)(=O)N,IC50,=,1120,nM,5.95078197732982
CC(=O)c1c(cccc1N2CCN(CC2)C)Nc3ncc4c(n3)-c5c(c(nn5C)C(=O)N)CC4,IC50,=,1121,nM,5.95039438740503
CN(C)CC(=O)N1CCC(CC1)Nc2ncc(c(n2)c3c[nH]c4c3cccc4)Cl,IC50,=,1126,nM,5.94846160948467
CC(=O)Nc1nc(cs1)Cc2nnc(n2NC(=O)c3ccc(cc3)Cl)SCC#N,IC50,=,1140,nM,5.94309514866353
c1c-2c(n[nH]1)CCc3c2n(nc3C(=O)N)CCO,IC50,=,1150,nM,5.93930215964639
CC(=O)N1Cc2c(n[nH]c2NC(=O)c3ccccc3)C1,IC50,=,1150,nM,5.93930215964639
CC(C)(C)Nc1c2cc(ccc2nc(n1)C(F)(F)F)O,IC50,=,1150,nM,5.93930215964639
Cn1cc(c2c1ccc(c2)Br)C3=C(C(=O)NC3=O)c4coc5c4cccc5OC,IC50,=,1160,nM,5.93554201077308
CC(C)(C)Nc1c2cc(ccc2nc(n1)C(F)(F)F)c3cccs3,IC50,=,1180,nM,5.92811799269388
c1cc2c(cc1CN3CCOCC3)nc([nH]2)c4c(c[nH]n4)NC(=O)NC5CCCCC5,IC50,=,1200,nM,5.92081875395238
CCCOc1cnc(cc1O)CN/C=C\2/c3cc(ccc3C(=O)NC2=O)C4CCCC4,IC50,=,1200,nM,5.92081875395238
CC(C)c1c(ccc2c1nc(nc2)Nc3ccc(cc3)N4CCNCC4)OC,IC50,=,1200,nM,5.92081875395238
CCCCNS(=O)(=O)n1c-2c(c(n1)C(=O)O)CCc3c2c[nH]n3,IC50,=,1200,nM,5.92081875395238
Cn1cnc2c1nc(nc2NCc3ccccc3)NCCO,IC50,=,1200,nM,5.92081875395238
CCn1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)OC(C(F)F)(F)F,IC50,=,1200,nM,5.92081875395238
CC(C)(C)Nc1c2cc(ccc2nc(n1)C(F)(F)F)c3ccc(cc3)c4cccnc4,IC50,=,1200,nM,5.92081875395238
CC(C)(C)Nc1c2cc(ccc2nc(n1)C(F)(F)F)c3ccco3,IC50,=,1200,nM,5.92081875395238
CC(C)(C)Nc1c2cc(ccc2nc(n1)C(F)(F)F)c3cccnc3,IC50,=,1200,nM,5.92081875395238
CC(C)Nc1nc2c(c(n1)OCC3CCCCC3)[nH]cn2,IC50,=,1200,nM,5.92081875395238
COc1cccc2c1cc3c4c2c5c(cc4C(=O)N3)OCO5,IC50,=,1200,nM,5.92081875395238
CC(C)COc1cc(n2c(n1)c(cn2)C(C)C)Nc3ccc(cc3)S(=O)(=O)N(C)C,IC50,=,1200,nM,5.92081875395238
CC(C)COc1cc(n2c(n1)c(cn2)C(C)C)Nc3ccc(cc3)S(=O)(=O)C,IC50,=,1200,nM,5.92081875395238
CS(=O)(=O)c1ccc(cc1)Nc2cn3cc(ccc3n2)C(=O)c4c(cccc4Cl)Cl,IC50,=,1210,nM,5.91721462968355
Cn1ccc2c1c3c(cc2)c4c(c5ccc(cc5n4CCCN6CCN(CC6)C)OC)c7c3C(=O)NC7=O,IC50,=,1230,nM,5.9100948885606
Cn1ccc2c1c3c(cc2)c4c(c5ccc(cc5n4CCCN6CCSCC6)OC)c7c3C(=O)NC7=O,IC50,=,1260,nM,5.89962945488244
CC(=O)c1ccccc1Nc2ncc3c(n2)-c4c(c(nn4C)C(=O)N)CC3,IC50,=,1263,nM,5.89859664944467
CCNC(=O)N1CCC[C@H](C1)Nc2ncc(c(n2)c3c[nH]c4c3cccc4)Cl,IC50,=,1264,nM,5.89825292605363
Cn1ccc2c1c3c(cc2)c4c(c5cccc(c5[nH]4)CCN6CCOCC6)c7c3C(=O)NC7=O,IC50,=,1280,nM,5.89279003035213
CN1CCC(CC1)c2c(cc(c3c2O/C(=C\c4ccccc4)/C3=O)O)O,IC50,=,1280,nM,5.89279003035213
Cc1ccccc1C(=O)c2ccc3nc(c(n3c2)C(=O)c4c(cccc4F)F)N,IC50,=,1294,nM,5.88806572366732
c1cc2c(cc1C3CCCC3)/C(=C/NCc4cc(c(cn4)c5ccoc5)O)/C(=O)NC2=O,IC50,=,1300,nM,5.88605664769316
c1cc(nc2c1c(c[nH]2)c3ccnc(n3)N)Br,IC50,=,1300,nM,5.88605664769316
CC(C)(C)Nc1c2cc(ccc2nc(n1)C(F)(F)F)c3cccc(c3)C(=O)N,IC50,=,1300,nM,5.88605664769316
Cn1ccc2c1c3c(cc2)c4c(c5cccc(c5[nH]4)CCCN6CCOCC6)c7c3C(=O)NC7=O,IC50,=,1330,nM,5.87614835903291
c1ccc(cc1)C(=O)Nc2nc(cs2)Cc3nnc(n3NC(=O)c4ccc(cc4)Cl)SCC#N,IC50,=,1340,nM,5.87289520163519
Cn1c-2c(c(n1)C(=O)N)CCc3c2nc(nc3)Nc4ccccc4c5ccccc5,IC50,=,1347,nM,5.87063240427701
CC(=O)N1Cc2c(n[nH]c2NC(=O)c3ccc(cc3)OC)C1,IC50,=,1370,nM,5.86327943284359
CC(C)C(=O)Nc1cccc-2c1C(=O)c3c2n[nH]c3c4ccc(cc4)OC,IC50,=,1400,nM,5.85387196432176
c1ccc2c(c1)N/C(=C(/C#N)\c3ccnc(n3)NCCc4cccnc4)/S2,IC50,=,1400,nM,5.85387196432176
CCC(C)(C)Nc1c2ccccc2nc(n1)C(F)(F)F,IC50,=,1400,nM,5.85387196432176
Cc1cc2c(=O)c(c(oc2c(c1)N3CCCS3(=O)=O)c4ccc(c(c4)C#N)O)O,IC50,=,1400,nM,5.85387196432176
Cn1cc(c2c1cccc2)C3=C(C(=O)NC3=O)c4coc5c4cccc5,IC50,=,1410,nM,5.85078088734462
Cn1c-2c(c(n1)C(=O)N)CCc3c2nc(nc3)Nc4ccccc4C(=O)OC,IC50,=,1448,nM,5.83923143813887
CC(c1ccc(cc1)N2CCN(C2=O)Cc3ccccc3)C(=O)Nc4cc([nH]n4)C5CC5,IC50,=,1450,nM,5.83863199776503
CC(C)n1cnc2c1nc(nc2NCc3ccc(cc3)OC)NCCO,IC50,=,1500,nM,5.82390874094432
CCc1c2c([nH]n1)-c3cccc(c3C2=O)NC(=O)C,IC50,=,1500,nM,5.82390874094432
Cn1cc(c2c1cccc2)C3=C(C(=O)NC3=O)c4c[nH]c5c4ccc(c5)F,IC50,=,1500,nM,5.82390874094432
CCN(CC)CCCc1cccc2c1[nH]c3c2c4c(c5c3ccc6c5n(cc6)C)C(=O)NC4=O,IC50,=,1500,nM,5.82390874094432
CC(C)Nc1cc(nc2n1ncc2C#N)Cl,IC50,=,1500,nM,5.82390874094432
Cc1cc(n[nH]1)NC(=O)c2ccccc2,IC50,=,1500,nM,5.82390874094432
c1ccc(c(c1)C(=O)Nc2cc([nH]n2)C3CC3)Br,IC50,=,1500,nM,5.82390874094432
