,,,,,pIC50
Cn1ccc2c1c3c(cc2)c4c(c5ccc(cc5n4CCCN6CCC(CC6)O)OC)c7c3C(=O)NC7=O,IC50,=,4,nM,8.39794000867204
CC(=O)Nc1ncc(s1)SCc2ncc(o2)CC3CCCCC3,IC50,=,4,nM,8.39794000867204
c1ccc(cc1)c2ccc(cc2F)CC(=O)Nc3cc([nH]n3)C4CC4,IC50,=,4,nM,8.39794000867204
CC(C)[C@H](CO)Nc1nc(c2c(n1)n(cn2)C(C)C)Nc3cccc(c3)Cl,IC50,=,4,nM,8.39794000867204
CC(C)(C)c1cnc(o1)CSc2cnc(s2)Nc3ccccc3,IC50,=,4,nM,8.39794000867204
c1cc(ccc1n2c-3c(c(n2)C(=O)N)CCc4c3cn[nH]4)S(=O)(=O)N,IC50,=,4,nM,8.39794000867204
Cn1c-2c(c(n1)C(=O)N)CCc3c2nc(nc3)Nc4ccc(cc4)OC,IC50,=,4,nM,8.39794000867204
CNS(=O)(=O)c1ccc2c(c1)/C(=C/c3c4c(c[nH]3)C(=O)OCC4)/C(=O)N2,IC50,=,4,nM,8.39794000867204
c1cc2c(cc1C(=O)O)/C(=C/c3c4c(c[nH]3)C(=O)OCC4)/C(=O)N2,IC50,=,4,nM,8.39794000867204
COCCCNS(=O)(=O)c1ccc(cc1)Nc2nccc(n2)c3cnc4n3cccc4,IC50,=,4,nM,8.39794000867204
c1cc(cc(c1)F)c2ccc(cc2)CC(=O)Nc3cc([nH]n3)C4CC4,IC50,=,4,nM,8.39794000867204
c1cc(ccc1CC(=O)Nc2cc([nH]n2)C3CC3)c4ccc(cc4)C(=O)N,IC50,=,4,nM,8.39794000867204
CCn1c(ncc1c2ccnc(n2)Nc3ccc(cc3)S(=O)(=O)NCCOC)C,IC50,=,4,nM,8.39794000867204
CCCN(C)[C@H]1CCN(C1)C(=O)c2ccc(cc2)Nc3nccc(n3)c4cnc(n4C(C)C)C,IC50,=,4,nM,8.39794000867204
CN(C)S(=O)(=O)c1ccc(cc1)Nc2cc(nc3n2ncc3C4CCCC4)NC5CCC(CC5)N,IC50,=,4,nM,8.39794000867204
CN1CCN(CC1)c2ccc(cc2C(F)(F)F)Nc3nccc(n3)c4cnn5c4cccn5,IC50,=,4,nM,8.39794000867204
CN1CCN(CC1)c2cccc3c2nc([nH]3)c4c5ccc(cc5[nH]n4)c6ccc(c(c6)OC)O,IC50,=,4.1,nM,8.38721614328026
c1ccc(cc1)NS(=O)(=O)c2ccc(cc2)/N=C/c3c4c(ccc5c4scn5)[nH]c3O,IC50,=,4.3,nM,8.36653154442041
c1cc(ccc1N=Nc2c3cc(ccc3[nH]c2O)C(=O)N)S(=O)(=O)N,IC50,=,4.5,nM,8.34678748622466
COCCOCCOCCOCCNS(=O)(=O)c1ccc(cc1)/N=C/c2c3c(ccc4c3scn4)[nH]c2O,IC50,=,4.5,nM,8.34678748622466
c1cc(ccc1N/N=C\2/c3cc(ccc3NC2=O)C(=O)N)S(=O)(=O)N,IC50,=,4.5,nM,8.34678748622466
c1cc2c(c(c1)I)c(c([nH]2)O)N=Nc3ccc(cc3)S(=O)(=O)N,IC50,=,4.6,nM,8.33724216831843
CN(C)S(=O)(=O)c1ccc(cc1)/N=C/c2c3c(ccc4c3scn4)[nH]c2O,IC50,=,4.6,nM,8.33724216831843
Cc1c(ccc2c1c(c([nH]2)O)N=Nc3ccc(cc3)S(=O)(=O)N)N(=O)=O,IC50,=,4.6,nM,8.33724216831843
Cc1c(ccc2c1/C(=N/Nc3ccc(cc3)S(=O)(=O)N)/C(=O)N2)N(=O)=O,IC50,=,4.6,nM,8.33724216831843
c1cc2c(c(c1)I)/C(=N/Nc3ccc(cc3)S(=O)(=O)N)/C(=O)N2,IC50,=,4.6,nM,8.33724216831843
c1cc(ccc1/N=C/c2c3c(ccc4c3scn4)[nH]c2O)S(=O)(=O)NCCO,IC50,=,4.7,nM,8.32790214206428
COc1cc[nH]c1/C=C\2/c3c(ccc(c3C#C[C@H](CO)N)F)NC2=O,IC50,=,5,nM,8.30102999566398
COc1cc[nH]c1/C=C\2/c3c(ccc(c3C#C[C@@H]4C[C@@H](CN4)O)F)NC2=O,IC50,=,5,nM,8.30102999566398
CC(=O)Nc1ncc(s1)SCc2ncc(o2)C(C)(C)C,IC50,=,5,nM,8.30102999566398
CCc1cnc(o1)CSc2cnc(s2)NC(=O)C(C)C,IC50,=,5,nM,8.30102999566398
CCc1cnc(o1)CSc2cnc(s2)NC(=O)Cc3cccnc3,IC50,=,5,nM,8.30102999566398
CC(C)C(=O)Nc1ncc(s1)SCc2ncc(o2)C(C)(C)C,IC50,=,5,nM,8.30102999566398
C[C@@H]1C[C@H](CNC1)C(=O)Nc2ncc(s2)SCc3ncc(o3)C(C)(C)C,IC50,=,5,nM,8.30102999566398
CC(C)(C)c1cnc(o1)CSc2cnc(s2)NC(=O)Cc3cccnc3,IC50,=,5,nM,8.30102999566398
c1cc(ccc1C#N)n2c3c(ccc4c3cn[nH]4)c(n2)C(=O)N,IC50,=,5,nM,8.30102999566398
c1ccc(cc1)Nc2ncc3c(n2)-c4c(c(nn4CC(F)(F)F)C(=O)N)CC3,IC50,=,5,nM,8.30102999566398
Cn1c-2c(c(n1)C(=O)N)CCc3c2nc(nc3)Nc4cccc(c4)OC,IC50,=,5,nM,8.30102999566398
Cn1c-2c(c(n1)C(=O)N)CCc3c2nc(nc3)Nc4cccc(c4)N(=O)=O,IC50,=,5,nM,8.30102999566398
CN(C)NC(=O)Nc1cccc-2c1C(=O)c3c2n[nH]c3c4ccc(cc4)OC,IC50,=,5,nM,8.30102999566398
c1cc(ccc1c2ccc3c(c2)[nH]nc3NC(=O)C4CC4)O,IC50,=,5,nM,8.30102999566398
c1ccc(cc1)c2cc3c([nH]nc3NC(=O)C4CC4)nc2c5ccc(cc5)O,IC50,=,5,nM,8.30102999566398
c1cc(ccc1c2c(cc3c(n2)[nH]nc3NC(=O)C4CC4)Br)O,IC50,=,5,nM,8.30102999566398
c1cc([nH]c1)c2cc(c3c(ccc4c3c2C(=O)N4)F)S[C@H]5CCNC5,IC50,=,5,nM,8.30102999566398
c1cc([nH]c1)c2cc(c3c(ccc4c3c2C(=O)N4)F)CCC#N,IC50,=,5,nM,8.30102999566398
CN(C)CCNS(=O)(=O)c1ccc(cc1)Nc2nccc(n2)c3cnc4n3cccc4,IC50,=,5,nM,8.30102999566398
CN(C)CCCN(C)S(=O)(=O)c1ccc(cc1)Nc2nccc(n2)c3cnc4n3cccc4,IC50,=,5,nM,8.30102999566398
c1ccn2c(c1)ncc2c3ccnc(n3)Nc4cccc(c4)Cl,IC50,=,5,nM,8.30102999566398
